region,destination,attraction,image_1,image_2,image_3,search_query
India,Andhra Pradesh,Tirupati,/destinations/andhra_pradesh/1.jpg,/destinations/andhra_pradesh/2.jpg,/destinations/andhra_pradesh/3.jpg,"Tirupati, Andhra Pradesh, India travel"
India,Odisha,Konark Sun Temple,/destinations/odisha/1.jpg,/destinations/odisha/2.jpg,/destinations/odisha/3.jpg,"Konark Sun Temple, Odisha, India travel"
India,West Bengal,Victoria Memorial,/destinations/west_bengal/1.jpg,/destinations/west_bengal/2.jpg,/destinations/west_bengal/3.jpg,"Victoria Memorial, West Bengal, India travel"
India,Assam,Kaziranga National Park,/destinations/assam/1.jpg,/destinations/assam/2.jpg,/destinations/assam/3.jpg,"Kaziranga National Park, Assam, India travel"
India,Meghalaya,Shillong,/destinations/meghalaya/1.jpg,/destinations/meghalaya/2.jpg,/destinations/meghalaya/3.jpg,"Shillong, Meghalaya, India travel"
India,Sikkim,Gangtok,/destinations/sikkim/1.jpg,/destinations/sikkim/2.jpg,/destinations/sikkim/3.jpg,"Gangtok, Sikkim, India travel"
India,Uttarakhand,Rishikesh,/destinations/uttarakhand/1.jpg,/destinations/uttarakhand/2.jpg,/destinations/uttarakhand/3.jpg,"Rishikesh, Uttarakhand, India travel"
India,Uttarakhand,Nainital,/destinations/uttarakhand/1.jpg,/destinations/uttarakhand/2.jpg,/destinations/uttarakhand/3.jpg,"Nainital, Uttarakhand, India travel"
India,Himachal Pradesh,Manali,/destinations/himachal_pradesh/1.jpg,/destinations/himachal_pradesh/2.jpg,/destinations/himachal_pradesh/3.jpg,"Manali, Himachal Pradesh, India travel"
India,Himachal Pradesh,Shimla,/destinations/himachal_pradesh/1.jpg,/destinations/himachal_pradesh/2.jpg,/destinations/himachal_pradesh/3.jpg,"Shimla, Himachal Pradesh, India travel"
India,Jammu and Kashmir,Gulmarg,/destinations/jammu_and_kashmir/1.jpg,/destinations/jammu_and_kashmir/2.jpg,/destinations/jammu_and_kashmir/3.jpg,"Gulmarg, Jammu and Kashmir, India travel"
India,Jammu and Kashmir,Dal Lake,/destinations/jammu_and_kashmir/1.jpg,/destinations/jammu_and_kashmir/2.jpg,/destinations/jammu_and_kashmir/3.jpg,"Dal Lake, Jammu and Kashmir, India travel"
India,Ladakh,Pangong Lake,/destinations/ladakh/1.jpg,/destinations/ladakh/2.jpg,/destinations/ladakh/3.jpg,"Pangong Lake, Ladakh, India travel"
India,Rajasthan,Jaisalmer Fort,/destinations/rajasthan/1.jpg,/destinations/rajasthan/2.jpg,/destinations/rajasthan/3.jpg,"Jaisalmer Fort, Rajasthan, India travel"
India,Gujarat,Statue of Unity,/destinations/gujarat/1.jpg,/destinations/gujarat/2.jpg,/destinations/gujarat/3.jpg,"Statue of Unity, Gujarat, India travel"
India,Madhya Pradesh,Khajuraho,/destinations/madhya_pradesh/1.jpg,/destinations/madhya_pradesh/2.jpg,/destinations/madhya_pradesh/3.jpg,"Khajuraho, Madhya Pradesh, India travel"
India,Maharashtra,Ajanta Caves,/destinations/maharashtra/1.jpg,/destinations/maharashtra/2.jpg,/destinations/maharashtra/3.jpg,"Ajanta Caves, Maharashtra, India travel"
India,Maharashtra,Ellora Caves,/destinations/maharashtra/1.jpg,/destinations/maharashtra/2.jpg,/destinations/maharashtra/3.jpg,"Ellora Caves, Maharashtra, India travel"
India,Bihar,Bodh Gaya,/destinations/bihar/1.jpg,/destinations/bihar/2.jpg,/destinations/bihar/3.jpg,"Bodh Gaya, Bihar, India travel"
India,Uttar Pradesh,Varanasi Ghats,/destinations/uttar_pradesh/1.jpg,/destinations/uttar_pradesh/2.jpg,/destinations/uttar_pradesh/3.jpg,"Varanasi Ghats, Uttar Pradesh, India travel"
India,Uttar Pradesh,Ayodhya,/destinations/uttar_pradesh/1.jpg,/destinations/uttar_pradesh/2.jpg,/destinations/uttar_pradesh/3.jpg,"Ayodhya, Uttar Pradesh, India travel"
India,Punjab,Golden Temple,/destinations/punjab/1.jpg,/destinations/punjab/2.jpg,/destinations/punjab/3.jpg,"Golden Temple, Punjab, India travel"
India,Andaman and Nicobar,Radhanagar Beach,/destinations/andaman_and_nicobar/1.jpg,/destinations/andaman_and_nicobar/2.jpg,/destinations/andaman_and_nicobar/3.jpg,"Radhanagar Beach, Andaman and Nicobar, India travel"
