origin,destination,mode,estimated_cost,cost_unit,cost_type
Bangalore,Mangalore,taxi,2200,per_person_one_way,rough_estimate
Bangalore,Mangalore,train,550,per_person_one_way,rough_estimate
Bangalore,Mysore,bus,250,per_person_one_way,rough_estimate
Bangalore,Mysore,taxi,1200,per_person_one_way,rough_estimate
Bangalore,Mysore,train,250,per_person_one_way,rough_estimate
Bangalore,Ooty,bus,600,per_person_one_way,rough_estimate
Bangalore,Ooty,taxi,2500,per_person_one_way,rough_estimate
Bangalore,Ooty,train,700,per_person_one_way,rough_estimate
Bangalore,Pondicherry,bus,700,per_person_one_way,rough_estimate
Bangalore,Pondicherry,taxi,2800,per_person_one_way,rough_estimate
Bangalore,Pondicherry,train,750,per_person_one_way,rough_estimate
Bangalore,Wayanad,bus,650,per_person_one_way,rough_estimate
Bangalore,Wayanad,taxi,2800,per_person_one_way,rough_estimate
Bangalore,Wayanad,train,700,per_person_one_way,rough_estimate
Bhopal,Indore,bus,350,per_person_one_way,rough_estimate
Bhopal,Indore,taxi,1500,per_person_one_way,rough_estimate
Bhopal,Indore,train,400,per_person_one_way,rough_estimate
Bhopal,Ujjain,bus,300,per_person_one_way,rough_estimate
Bhopal,Ujjain,taxi,1300,per_person_one_way,rough_estimate
Bhopal,Ujjain,train,350,per_person_one_way,rough_estimate
Bhubaneswar,Chilika,bus,300,per_person_one_way,rough_estimate
Bhubaneswar,Chilika,taxi,1400,per_person_one_way,rough_estimate
Bhubaneswar,Chilika,train,350,per_person_one_way,rough_estimate
Bhubaneswar,Konark,bus,200,per_person_one_way,rough_estimate
Bhubaneswar,Konark,taxi,1000,per_person_one_way,rough_estimate
Bhubaneswar,Konark,train,250,per_person_one_way,rough_estimate
Bhubaneswar,Puri,bus,200,per_person_one_way,rough_estimate
Bhubaneswar,Puri,taxi,900,per_person_one_way,rough_estimate
Bhubaneswar,Puri,train,250,per_person_one_way,rough_estimate
Chandigarh,Amritsar,bus,500,per_person_one_way,rough_estimate
Chandigarh,Amritsar,taxi,2200,per_person_one_way,rough_estimate
Chandigarh,Amritsar,train,600,per_person_one_way,rough_estimate
Chandigarh,Manali,bus,800,per_person_one_way,rough_estimate
Chandigarh,Manali,taxi,3000,per_person_one_way,rough_estimate
Chandigarh,Manali,train,900,per_person_one_way,rough_estimate
Chandigarh,Shimla,bus,400,per_person_one_way,rough_estimate
Chandigarh,Shimla,taxi,1800,per_person_one_way,rough_estimate
Chandigarh,Shimla,train,500,per_person_one_way,rough_estimate
Chennai,Agra,bus,2200,per_person_one_way,rough_estimate
Chennai,Agra,taxi,7000,per_person_one_way,rough_estimate
Chennai,Agra,train,2300,per_person_one_way,rough_estimate
Chennai,Ahmedabad,bus,1700,per_person_one_way,rough_estimate
Chennai,Ahmedabad,taxi,6000,per_person_one_way,rough_estimate
Chennai,Ahmedabad,train,1800,per_person_one_way,rough_estimate
Chennai,Alappuzha,bus,750,per_person_one_way,rough_estimate
Chennai,Alappuzha,taxi,3500,per_person_one_way,rough_estimate
Chennai,Alappuzha,train,800,per_person_one_way,rough_estimate
Chennai,Alibaug,bus,1300,per_person_one_way,rough_estimate
Chennai,Alibaug,taxi,4800,per_person_one_way,rough_estimate
Chennai,Alibaug,train,1400,per_person_one_way,rough_estimate
Chennai,Alleppey,bus,750,per_person_one_way,rough_estimate
Chennai,Alleppey,taxi,3500,per_person_one_way,rough_estimate
Chennai,Alleppey,train,800,per_person_one_way,rough_estimate
Chennai,Amritsar,bus,2400,per_person_one_way,rough_estimate
Chennai,Amritsar,taxi,8000,per_person_one_way,rough_estimate
Chennai,Amritsar,train,2500,per_person_one_way,rough_estimate
Chennai,Ayodhya,bus,1800,per_person_one_way,rough_estimate
Chennai,Ayodhya,taxi,6500,per_person_one_way,rough_estimate
Chennai,Ayodhya,train,1900,per_person_one_way,rough_estimate
Chennai,Bandipur,bus,700,per_person_one_way,rough_estimate
Chennai,Bandipur,taxi,3000,per_person_one_way,rough_estimate
Chennai,Bandipur,train,750,per_person_one_way,rough_estimate
Chennai,Bangalore,bus,500,per_person_one_way,rough_estimate
Chennai,Bangalore,taxi,2200,per_person_one_way,rough_estimate
Chennai,Bangalore,train,550,per_person_one_way,rough_estimate
Chennai,Bengaluru,bus,500,per_person_one_way,rough_estimate
Chennai,Bengaluru,taxi,2200,per_person_one_way,rough_estimate
Chennai,Bengaluru,train,550,per_person_one_way,rough_estimate
Chennai,Bhopal,bus,1600,per_person_one_way,rough_estimate
Chennai,Bhopal,taxi,5500,per_person_one_way,rough_estimate
Chennai,Bhopal,train,1700,per_person_one_way,rough_estimate
Chennai,Bhubaneswar,bus,1500,per_person_one_way,rough_estimate
Chennai,Bhubaneswar,taxi,5500,per_person_one_way,rough_estimate
Chennai,Bhubaneswar,train,1600,per_person_one_way,rough_estimate
Chennai,Bodh Gaya,bus,1800,per_person_one_way,rough_estimate
Chennai,Bodh Gaya,taxi,6500,per_person_one_way,rough_estimate
Chennai,Bodh Gaya,train,1900,per_person_one_way,rough_estimate
Chennai,Chandigarh,bus,2400,per_person_one_way,rough_estimate
Chennai,Chandigarh,taxi,8000,per_person_one_way,rough_estimate
Chennai,Chandigarh,train,2500,per_person_one_way,rough_estimate
Chennai,Chidambaram,bus,300,per_person_one_way,rough_estimate
Chennai,Chidambaram,taxi,1500,per_person_one_way,rough_estimate
Chennai,Chidambaram,train,350,per_person_one_way,rough_estimate
Chennai,Chikmagalur,bus,750,per_person_one_way,rough_estimate
Chennai,Chikmagalur,taxi,3200,per_person_one_way,rough_estimate
Chennai,Chikmagalur,train,800,per_person_one_way,rough_estimate
Chennai,Coimbatore,bus,450,per_person_one_way,rough_estimate
Chennai,Coimbatore,taxi,2200,per_person_one_way,rough_estimate
Chennai,Coimbatore,train,450,per_person_one_way,rough_estimate
Chennai,Coonoor,bus,500,per_person_one_way,rough_estimate
Chennai,Coonoor,taxi,2500,per_person_one_way,rough_estimate
Chennai,Coonoor,train,650,per_person_one_way,rough_estimate
Chennai,Coorg,bus,700,per_person_one_way,rough_estimate
Chennai,Coorg,taxi,3000,per_person_one_way,rough_estimate
Chennai,Coorg,train,750,per_person_one_way,rough_estimate
Chennai,Dandeli,bus,950,per_person_one_way,rough_estimate
Chennai,Dandeli,taxi,4000,per_person_one_way,rough_estimate
Chennai,Dandeli,train,1000,per_person_one_way,rough_estimate
Chennai,Darjeeling,bus,2200,per_person_one_way,rough_estimate
Chennai,Darjeeling,taxi,7500,per_person_one_way,rough_estimate
Chennai,Darjeeling,train,2300,per_person_one_way,rough_estimate
Chennai,Delhi,bus,2200,per_person_one_way,rough_estimate
Chennai,Delhi,taxi,7000,per_person_one_way,rough_estimate
Chennai,Delhi,train,2300,per_person_one_way,rough_estimate
Chennai,Dharamshala,bus,2600,per_person_one_way,rough_estimate
Chennai,Dharamshala,taxi,8500,per_person_one_way,rough_estimate
Chennai,Dharamshala,train,2700,per_person_one_way,rough_estimate
Chennai,Dindigul,bus,450,per_person_one_way,rough_estimate
Chennai,Dindigul,taxi,2200,per_person_one_way,rough_estimate
Chennai,Dindigul,train,500,per_person_one_way,rough_estimate
Chennai,Diu,bus,1700,per_person_one_way,rough_estimate
Chennai,Diu,taxi,6000,per_person_one_way,rough_estimate
Chennai,Diu,train,1800,per_person_one_way,rough_estimate
Chennai,Dwarka,bus,1800,per_person_one_way,rough_estimate
Chennai,Dwarka,taxi,6500,per_person_one_way,rough_estimate
Chennai,Dwarka,train,1900,per_person_one_way,rough_estimate
Chennai,Erode,bus,450,per_person_one_way,rough_estimate
Chennai,Erode,taxi,2200,per_person_one_way,rough_estimate
Chennai,Erode,train,500,per_person_one_way,rough_estimate
Chennai,Gangtok,bus,2300,per_person_one_way,rough_estimate
Chennai,Gangtok,taxi,8000,per_person_one_way,rough_estimate
Chennai,Gangtok,train,2400,per_person_one_way,rough_estimate
Chennai,Goa,bus,1200,per_person_one_way,rough_estimate
Chennai,Goa,taxi,4500,per_person_one_way,rough_estimate
Chennai,Goa,train,1300,per_person_one_way,rough_estimate
Chennai,Gokarna,bus,900,per_person_one_way,rough_estimate
Chennai,Gokarna,taxi,3500,per_person_one_way,rough_estimate
Chennai,Gokarna,train,950,per_person_one_way,rough_estimate
Chennai,Gulmarg,bus,3100,per_person_one_way,rough_estimate
Chennai,Gulmarg,taxi,10000,per_person_one_way,rough_estimate
Chennai,Gulmarg,train,3300,per_person_one_way,rough_estimate
Chennai,Guwahati,bus,2200,per_person_one_way,rough_estimate
Chennai,Guwahati,taxi,7500,per_person_one_way,rough_estimate
Chennai,Guwahati,train,2300,per_person_one_way,rough_estimate
Chennai,Hampi,bus,900,per_person_one_way,rough_estimate
Chennai,Hampi,taxi,3800,per_person_one_way,rough_estimate
Chennai,Hampi,train,950,per_person_one_way,rough_estimate
Chennai,Haridwar,bus,2300,per_person_one_way,rough_estimate
Chennai,Haridwar,taxi,7500,per_person_one_way,rough_estimate
Chennai,Haridwar,train,2400,per_person_one_way,rough_estimate
Chennai,Hogenakkal,bus,400,per_person_one_way,rough_estimate
Chennai,Hogenakkal,taxi,1800,per_person_one_way,rough_estimate
Chennai,Hogenakkal,train,450,per_person_one_way,rough_estimate
Chennai,Hyderabad,bus,900,per_person_one_way,rough_estimate
Chennai,Hyderabad,taxi,3500,per_person_one_way,rough_estimate
Chennai,Hyderabad,train,950,per_person_one_way,rough_estimate
Chennai,Indore,bus,1500,per_person_one_way,rough_estimate
Chennai,Indore,taxi,5200,per_person_one_way,rough_estimate
Chennai,Indore,train,1600,per_person_one_way,rough_estimate
Chennai,Jaipur,bus,2200,per_person_one_way,rough_estimate
Chennai,Jaipur,taxi,7000,per_person_one_way,rough_estimate
Chennai,Jaipur,train,2300,per_person_one_way,rough_estimate
Chennai,Jaisalmer,bus,2100,per_person_one_way,rough_estimate
Chennai,Jaisalmer,taxi,7000,per_person_one_way,rough_estimate
Chennai,Jaisalmer,train,2200,per_person_one_way,rough_estimate
Chennai,Jodhpur,bus,1900,per_person_one_way,rough_estimate
Chennai,Jodhpur,taxi,6500,per_person_one_way,rough_estimate
Chennai,Jodhpur,train,2000,per_person_one_way,rough_estimate
Chennai,Kabini,bus,800,per_person_one_way,rough_estimate
Chennai,Kabini,taxi,3300,per_person_one_way,rough_estimate
Chennai,Kabini,train,850,per_person_one_way,rough_estimate
Chennai,Kanchipuram,bus,180,per_person_one_way,rough_estimate
Chennai,Kanchipuram,taxi,1000,per_person_one_way,rough_estimate
Chennai,Kanchipuram,train,220,per_person_one_way,rough_estimate
Chennai,Kanyakumari,bus,750,per_person_one_way,rough_estimate
Chennai,Kanyakumari,taxi,3500,per_person_one_way,rough_estimate
Chennai,Kanyakumari,train,700,per_person_one_way,rough_estimate
Chennai,Kasol,bus,2700,per_person_one_way,rough_estimate
Chennai,Kasol,taxi,9000,per_person_one_way,rough_estimate
Chennai,Kasol,train,2800,per_person_one_way,rough_estimate
Chennai,Kaziranga,bus,2300,per_person_one_way,rough_estimate
Chennai,Kaziranga,taxi,8000,per_person_one_way,rough_estimate
Chennai,Kaziranga,train,2400,per_person_one_way,rough_estimate
Chennai,Khajuraho,bus,1900,per_person_one_way,rough_estimate
Chennai,Khajuraho,taxi,6500,per_person_one_way,rough_estimate
Chennai,Khajuraho,train,2000,per_person_one_way,rough_estimate
Chennai,Kochi,bus,800,per_person_one_way,rough_estimate
Chennai,Kochi,taxi,3500,per_person_one_way,rough_estimate
Chennai,Kochi,train,850,per_person_one_way,rough_estimate
Chennai,Kodaikanal,bus,500,per_person_one_way,rough_estimate
Chennai,Kodaikanal,taxi,2500,per_person_one_way,rough_estimate
Chennai,Kodaikanal,train,550,per_person_one_way,rough_estimate
Chennai,Kolkata,bus,2000,per_person_one_way,rough_estimate
Chennai,Kolkata,taxi,7000,per_person_one_way,rough_estimate
Chennai,Kolkata,train,2100,per_person_one_way,rough_estimate
Chennai,Konark,bus,1500,per_person_one_way,rough_estimate
Chennai,Konark,taxi,5500,per_person_one_way,rough_estimate
Chennai,Konark,train,1600,per_person_one_way,rough_estimate
Chennai,Kotagiri,bus,500,per_person_one_way,rough_estimate
Chennai,Kotagiri,taxi,2500,per_person_one_way,rough_estimate
Chennai,Kotagiri,train,650,per_person_one_way,rough_estimate
Chennai,Kovalam,bus,750,per_person_one_way,rough_estimate
Chennai,Kovalam,taxi,3200,per_person_one_way,rough_estimate
Chennai,Kovalam,train,800,per_person_one_way,rough_estimate
Chennai,Kumarakom,bus,750,per_person_one_way,rough_estimate
Chennai,Kumarakom,taxi,3500,per_person_one_way,rough_estimate
Chennai,Kumarakom,train,800,per_person_one_way,rough_estimate
Chennai,Kumbakonam,bus,400,per_person_one_way,rough_estimate
Chennai,Kumbakonam,taxi,2000,per_person_one_way,rough_estimate
Chennai,Kumbakonam,train,450,per_person_one_way,rough_estimate
Chennai,Leh,bus,3500,per_person_one_way,rough_estimate
Chennai,Leh,taxi,12000,per_person_one_way,rough_estimate
Chennai,Leh,train,3600,per_person_one_way,rough_estimate
Chennai,Lonavala,bus,1300,per_person_one_way,rough_estimate
Chennai,Lonavala,taxi,4800,per_person_one_way,rough_estimate
Chennai,Lonavala,train,1400,per_person_one_way,rough_estimate
Chennai,Lucknow,bus,1800,per_person_one_way,rough_estimate
Chennai,Lucknow,taxi,6500,per_person_one_way,rough_estimate
Chennai,Lucknow,train,1900,per_person_one_way,rough_estimate
Chennai,Madurai,bus,500,per_person_one_way,rough_estimate
Chennai,Madurai,taxi,2500,per_person_one_way,rough_estimate
Chennai,Madurai,train,550,per_person_one_way,rough_estimate
Chennai,Mahabaleshwar,bus,1300,per_person_one_way,rough_estimate
Chennai,Mahabaleshwar,taxi,4800,per_person_one_way,rough_estimate
Chennai,Mahabaleshwar,train,1400,per_person_one_way,rough_estimate
Chennai,Mahabalipuram,bus,150,per_person_one_way,rough_estimate
Chennai,Mahabalipuram,taxi,1000,per_person_one_way,rough_estimate
Chennai,Mahabalipuram,train,180,per_person_one_way,rough_estimate
Chennai,Manali,bus,2600,per_person_one_way,rough_estimate
Chennai,Manali,taxi,8500,per_person_one_way,rough_estimate
Chennai,Manali,train,2700,per_person_one_way,rough_estimate
Chennai,Mettupalayam,bus,450,per_person_one_way,rough_estimate
Chennai,Mettupalayam,taxi,2200,per_person_one_way,rough_estimate
Chennai,Mettupalayam,train,550,per_person_one_way,rough_estimate
Chennai,Mount Abu,bus,1900,per_person_one_way,rough_estimate
Chennai,Mount Abu,taxi,6500,per_person_one_way,rough_estimate
Chennai,Mount Abu,train,2000,per_person_one_way,rough_estimate
Chennai,Mumbai,bus,1400,per_person_one_way,rough_estimate
Chennai,Mumbai,taxi,5000,per_person_one_way,rough_estimate
Chennai,Mumbai,train,1500,per_person_one_way,rough_estimate
Chennai,Munnar,bus,700,per_person_one_way,rough_estimate
Chennai,Munnar,taxi,3200,per_person_one_way,rough_estimate
Chennai,Munnar,train,750,per_person_one_way,rough_estimate
Chennai,Mussoorie,bus,2400,per_person_one_way,rough_estimate
Chennai,Mussoorie,taxi,7800,per_person_one_way,rough_estimate
Chennai,Mussoorie,train,2500,per_person_one_way,rough_estimate
Chennai,Mysore,bus,700,per_person_one_way,rough_estimate
Chennai,Mysore,taxi,3000,per_person_one_way,rough_estimate
Chennai,Mysore,train,750,per_person_one_way,rough_estimate
Chennai,Nagapattinam,bus,450,per_person_one_way,rough_estimate
Chennai,Nagapattinam,taxi,2200,per_person_one_way,rough_estimate
Chennai,Nagapattinam,train,500,per_person_one_way,rough_estimate
Chennai,Nainital,bus,2400,per_person_one_way,rough_estimate
Chennai,Nainital,taxi,8000,per_person_one_way,rough_estimate
Chennai,Nainital,train,2500,per_person_one_way,rough_estimate
Chennai,Ooty,bus,500,per_person_one_way,rough_estimate
Chennai,Ooty,taxi,2500,per_person_one_way,rough_estimate
Chennai,Ooty,train,650,per_person_one_way,rough_estimate
Chennai,Pahalgam,bus,3100,per_person_one_way,rough_estimate
Chennai,Pahalgam,taxi,10000,per_person_one_way,rough_estimate
Chennai,Pahalgam,train,3300,per_person_one_way,rough_estimate
Chennai,Pollachi,bus,500,per_person_one_way,rough_estimate
Chennai,Pollachi,taxi,2300,per_person_one_way,rough_estimate
Chennai,Pollachi,train,550,per_person_one_way,rough_estimate
Chennai,Pondicherry,bus,200,per_person_one_way,rough_estimate
Chennai,Pondicherry,taxi,1200,per_person_one_way,rough_estimate
Chennai,Pondicherry,train,200,per_person_one_way,rough_estimate
Chennai,Poompuhar,bus,400,per_person_one_way,rough_estimate
Chennai,Poompuhar,taxi,2000,per_person_one_way,rough_estimate
Chennai,Poompuhar,train,450,per_person_one_way,rough_estimate
Chennai,Prayagraj,bus,1750,per_person_one_way,rough_estimate
Chennai,Prayagraj,taxi,6200,per_person_one_way,rough_estimate
Chennai,Prayagraj,train,1850,per_person_one_way,rough_estimate
Chennai,Pune,bus,1300,per_person_one_way,rough_estimate
Chennai,Pune,taxi,4800,per_person_one_way,rough_estimate
Chennai,Pune,train,1400,per_person_one_way,rough_estimate
Chennai,Puri,bus,1500,per_person_one_way,rough_estimate
Chennai,Puri,taxi,5500,per_person_one_way,rough_estimate
Chennai,Puri,train,1600,per_person_one_way,rough_estimate
Chennai,Pushkar,bus,1900,per_person_one_way,rough_estimate
Chennai,Pushkar,taxi,6500,per_person_one_way,rough_estimate
Chennai,Pushkar,train,2000,per_person_one_way,rough_estimate
Chennai,Rameswaram,bus,550,per_person_one_way,rough_estimate
Chennai,Rameswaram,taxi,3000,per_person_one_way,rough_estimate
Chennai,Rameswaram,train,500,per_person_one_way,rough_estimate
Chennai,Rann of Kutch,bus,1800,per_person_one_way,rough_estimate
Chennai,Rann of Kutch,taxi,6500,per_person_one_way,rough_estimate
Chennai,Rann of Kutch,train,1900,per_person_one_way,rough_estimate
Chennai,Ranthambore,bus,1900,per_person_one_way,rough_estimate
Chennai,Ranthambore,taxi,6500,per_person_one_way,rough_estimate
Chennai,Ranthambore,train,2000,per_person_one_way,rough_estimate
Chennai,Rishikesh,bus,2300,per_person_one_way,rough_estimate
Chennai,Rishikesh,taxi,7500,per_person_one_way,rough_estimate
Chennai,Rishikesh,train,2400,per_person_one_way,rough_estimate
Chennai,Sakleshpur,bus,700,per_person_one_way,rough_estimate
Chennai,Sakleshpur,taxi,3000,per_person_one_way,rough_estimate
Chennai,Sakleshpur,train,750,per_person_one_way,rough_estimate
Chennai,Salem,bus,400,per_person_one_way,rough_estimate
Chennai,Salem,taxi,2000,per_person_one_way,rough_estimate
Chennai,Salem,train,450,per_person_one_way,rough_estimate
Chennai,Shillong,bus,2200,per_person_one_way,rough_estimate
Chennai,Shillong,taxi,7500,per_person_one_way,rough_estimate
Chennai,Shillong,train,2300,per_person_one_way,rough_estimate
Chennai,Shimla,bus,2500,per_person_one_way,rough_estimate
Chennai,Shimla,taxi,8000,per_person_one_way,rough_estimate
Chennai,Shimla,train,2600,per_person_one_way,rough_estimate
Chennai,Somnath,bus,1800,per_person_one_way,rough_estimate
Chennai,Somnath,taxi,6500,per_person_one_way,rough_estimate
Chennai,Somnath,train,1900,per_person_one_way,rough_estimate
Chennai,Srinagar,bus,3000,per_person_one_way,rough_estimate
Chennai,Srinagar,taxi,9500,per_person_one_way,rough_estimate
Chennai,Srinagar,train,3200,per_person_one_way,rough_estimate
Chennai,Tawang,bus,2600,per_person_one_way,rough_estimate
Chennai,Tawang,taxi,9500,per_person_one_way,rough_estimate
Chennai,Tawang,train,2800,per_person_one_way,rough_estimate
Chennai,Thanjavur,bus,350,per_person_one_way,rough_estimate
Chennai,Thanjavur,taxi,1800,per_person_one_way,rough_estimate
Chennai,Thanjavur,train,400,per_person_one_way,rough_estimate
Chennai,Thekkady,bus,700,per_person_one_way,rough_estimate
Chennai,Thekkady,taxi,3200,per_person_one_way,rough_estimate
Chennai,Thekkady,train,750,per_person_one_way,rough_estimate
Chennai,Theni,bus,500,per_person_one_way,rough_estimate
Chennai,Theni,taxi,2500,per_person_one_way,rough_estimate
Chennai,Theni,train,550,per_person_one_way,rough_estimate
Chennai,Thoothukudi,bus,650,per_person_one_way,rough_estimate
Chennai,Thoothukudi,taxi,3000,per_person_one_way,rough_estimate
Chennai,Thoothukudi,train,700,per_person_one_way,rough_estimate
Chennai,Tirunelveli,bus,650,per_person_one_way,rough_estimate
Chennai,Tirunelveli,taxi,3000,per_person_one_way,rough_estimate
Chennai,Tirunelveli,train,700,per_person_one_way,rough_estimate
Chennai,Tirupati,bus,350,per_person_one_way,rough_estimate
Chennai,Tirupati,taxi,1800,per_person_one_way,rough_estimate
Chennai,Tirupati,train,400,per_person_one_way,rough_estimate
Chennai,Tiruppur,bus,450,per_person_one_way,rough_estimate
Chennai,Tiruppur,taxi,2200,per_person_one_way,rough_estimate
Chennai,Tiruppur,train,500,per_person_one_way,rough_estimate
Chennai,Tiruvannamalai,bus,300,per_person_one_way,rough_estimate
Chennai,Tiruvannamalai,taxi,1500,per_person_one_way,rough_estimate
Chennai,Tiruvannamalai,train,350,per_person_one_way,rough_estimate
Chennai,Trichy,bus,400,per_person_one_way,rough_estimate
Chennai,Trichy,taxi,2000,per_person_one_way,rough_estimate
Chennai,Trichy,train,450,per_person_one_way,rough_estimate
Chennai,Udaipur,bus,1800,per_person_one_way,rough_estimate
Chennai,Udaipur,taxi,6500,per_person_one_way,rough_estimate
Chennai,Udaipur,train,1900,per_person_one_way,rough_estimate
Chennai,Ujjain,bus,1550,per_person_one_way,rough_estimate
Chennai,Ujjain,taxi,5400,per_person_one_way,rough_estimate
Chennai,Ujjain,train,1650,per_person_one_way,rough_estimate
Chennai,Vagamon,bus,700,per_person_one_way,rough_estimate
Chennai,Vagamon,taxi,3200,per_person_one_way,rough_estimate
Chennai,Vagamon,train,750,per_person_one_way,rough_estimate
Chennai,Valparai,bus,600,per_person_one_way,rough_estimate
Chennai,Valparai,taxi,2800,per_person_one_way,rough_estimate
Chennai,Valparai,train,650,per_person_one_way,rough_estimate
Chennai,Varanasi,bus,1800,per_person_one_way,rough_estimate
Chennai,Varanasi,taxi,6500,per_person_one_way,rough_estimate
Chennai,Varanasi,train,1900,per_person_one_way,rough_estimate
Chennai,Varkala,bus,700,per_person_one_way,rough_estimate
Chennai,Varkala,taxi,3000,per_person_one_way,rough_estimate
Chennai,Varkala,train,750,per_person_one_way,rough_estimate
Chennai,Velankanni,bus,450,per_person_one_way,rough_estimate
Chennai,Velankanni,taxi,2200,per_person_one_way,rough_estimate
Chennai,Velankanni,train,500,per_person_one_way,rough_estimate
Chennai,Vellore,bus,250,per_person_one_way,rough_estimate
Chennai,Vellore,taxi,1300,per_person_one_way,rough_estimate
Chennai,Vellore,train,300,per_person_one_way,rough_estimate
Chennai,Vijayawada,bus,650,per_person_one_way,rough_estimate
Chennai,Vijayawada,taxi,2800,per_person_one_way,rough_estimate
Chennai,Vijayawada,train,700,per_person_one_way,rough_estimate
Chennai,Visakhapatnam,bus,850,per_person_one_way,rough_estimate
Chennai,Visakhapatnam,taxi,3500,per_person_one_way,rough_estimate
Chennai,Visakhapatnam,train,900,per_person_one_way,rough_estimate
Chennai,Wayanad,bus,750,per_person_one_way,rough_estimate
Chennai,Wayanad,taxi,3300,per_person_one_way,rough_estimate
Chennai,Wayanad,train,800,per_person_one_way,rough_estimate
Chennai,Yelagiri,bus,300,per_person_one_way,rough_estimate
Chennai,Yelagiri,taxi,1500,per_person_one_way,rough_estimate
Chennai,Yelagiri,train,350,per_person_one_way,rough_estimate
Chennai,Yercaud,bus,450,per_person_one_way,rough_estimate
Chennai,Yercaud,taxi,2200,per_person_one_way,rough_estimate
Chennai,Yercaud,train,500,per_person_one_way,rough_estimate
Coimbatore,Kochi,bus,350,per_person_one_way,rough_estimate
Coimbatore,Kochi,taxi,1600,per_person_one_way,rough_estimate
Coimbatore,Kochi,train,400,per_person_one_way,rough_estimate
Coimbatore,Madurai,bus,350,per_person_one_way,rough_estimate
Coimbatore,Madurai,taxi,1600,per_person_one_way,rough_estimate
Coimbatore,Madurai,train,400,per_person_one_way,rough_estimate
Coimbatore,Munnar,bus,450,per_person_one_way,rough_estimate
Coimbatore,Munnar,taxi,2000,per_person_one_way,rough_estimate
Coimbatore,Munnar,train,500,per_person_one_way,rough_estimate
Coimbatore,Palakkad,bus,200,per_person_one_way,rough_estimate
Coimbatore,Palakkad,taxi,900,per_person_one_way,rough_estimate
Coimbatore,Palakkad,train,250,per_person_one_way,rough_estimate
Coimbatore,Valparai,bus,300,per_person_one_way,rough_estimate
Coimbatore,Valparai,taxi,1400,per_person_one_way,rough_estimate
Coimbatore,Valparai,train,350,per_person_one_way,rough_estimate
Dehradun,Haridwar,bus,150,per_person_one_way,rough_estimate
Dehradun,Haridwar,taxi,800,per_person_one_way,rough_estimate
Dehradun,Haridwar,train,200,per_person_one_way,rough_estimate
Dehradun,Mussoorie,bus,200,per_person_one_way,rough_estimate
Dehradun,Mussoorie,taxi,1000,per_person_one_way,rough_estimate
Dehradun,Mussoorie,train,250,per_person_one_way,rough_estimate
